# threshold=0.5
# --- sex ---
sex,count,avg_risk,high_risk_rate
2,115,0.24998711569066442,0.25217391304347825
1,85,0.24421438311273952,0.21176470588235294

# --- age_group ---
age_group,count,avg_risk,high_risk_rate
65+,1,0.9675,1.0
18-24,13,0.3375,0.38461538461538464
55-64,13,0.3646153846153846,0.38461538461538464
25-34,96,0.23676701311703965,0.22916666666666666
45-54,22,0.21375,0.18181818181818182
35-44,55,0.21781104745042648,0.18181818181818182

# --- education ---
education,count,avg_risk,high_risk_rate
3,34,0.3638970588235294,0.38235294117647056
1,69,0.2507551827503399,0.2463768115942029
2,92,0.21265905716560662,0.18478260869565216
4,5,0.053500000000000006,0.0
